      gene      | go_accession |                                                                                           go_term                                                                                           
 Smp_180620.1   | GO:0016020   | membrane
 Smp_066610.1   | GO:0005739   | mitochondrion
 Smp_158280.1   | GO:0008270   | zinc ion binding
 Smp_158280.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_158280.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_158280.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_158280.1   | GO:0005634   | nucleus
 Smp_013930.2   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_013930.2   | GO:0005634   | nucleus
 Smp_123410.2   | GO:0008026   | ATP-dependent helicase activity
 Smp_123410.2   | GO:0005524   | ATP binding
 Smp_123410.2   | GO:0004386   | helicase activity
 Smp_123410.2   | GO:0003723   | RNA binding
 Smp_123410.2   | GO:0005634   | nucleus
 Smp_123410.2   | GO:0005737   | cytoplasm
 Smp_171540.2   | GO:0005524   | ATP binding
 Smp_171540.2   | GO:0005737   | cytoplasm
 Smp_090370.1   | GO:0005634   | nucleus
 Smp_108010.1   | GO:0005737   | cytoplasm
 Smp_100450.1   | GO:0005737   | cytoplasm
 Smp_121920.1   | GO:0016021   | integral component of membrane
 Smp_121920.1   | GO:0005886   | plasma membrane
 Smp_121920.1   | GO:0005215   | transporter activity
 Smp_194710.1   | GO:0016021   | integral component of membrane
 Smp_194710.1   | GO:0016020   | membrane
 Smp_194710.1   | GO:0005515   | protein binding
 Smp_194710.1   | GO:0006813   | potassium ion transport
 Smp_121790.1   | GO:0003735   | structural constituent of ribosome
 Smp_121790.1   | GO:0006412   | translation
 Smp_121790.1   | GO:0005622   | intracellular
 Smp_121790.1   | GO:0005840   | ribosome
 Smp_166840.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_166840.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_166840.1   | GO:0005634   | nucleus
 Smp_040450.1   | GO:0005634   | nucleus
 Smp_018710.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_018710.1   | GO:0016568   | chromatin modification
 Smp_018710.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_018710.1   | GO:0005634   | nucleus
 Smp_018610.1   | GO:0003713   | transcription coactivator activity
 Smp_018610.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_018610.1   | GO:0005634   | nucleus
 Smp_197310.1   | GO:0005524   | ATP binding
 Smp_197310.1   | GO:0005737   | cytoplasm
 Smp_018280.1   | GO:0005634   | nucleus
 Smp_132200.1   | GO:0016020   | membrane
 Smp_097090.1   | GO:0003723   | RNA binding
 Smp_097090.1   | GO:0005634   | nucleus
 Smp_097090.1   | GO:0005737   | cytoplasm
 Smp_137800.1   | GO:0003689   | DNA clamp loader activity
 Smp_137800.1   | GO:0005524   | ATP binding
 Smp_137800.1   | GO:0005663   | DNA replication factor C complex
 Smp_137800.1   | GO:0005634   | nucleus
 Smp_179690.1   | GO:0016020   | membrane
 Smp_186990.1   | GO:0005524   | ATP binding
 Smp_186990.1   | GO:0006468   | protein phosphorylation
 Smp_179700.1   | GO:0003723   | RNA binding
 Smp_179700.1   | GO:0003677   | DNA binding
 Smp_179700.1   | GO:0003964   | RNA-directed DNA polymerase activity
 Smp_174800.1   | GO:0003677   | DNA binding
 Smp_174800.1   | GO:0008270   | zinc ion binding
 Smp_174800.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_174800.1   | GO:0005634   | nucleus
 Smp_174800.1   | GO:0005622   | intracellular
 Smp_075120.1   | GO:0008134   | transcription factor binding
 Smp_075120.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_075120.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_075120.1   | GO:0005634   | nucleus
 Smp_075110.1   | GO:0008853   | exodeoxyribonuclease III activity
 Smp_074930.1   | GO:0008270   | zinc ion binding
 Smp_074930.1   | GO:0008415   | acyltransferase activity (obsolete GO:acyltransferase activity)
 Smp_074930.1   | GO:0016021   | integral component of membrane
 Smp_074930.1   | GO:0016020   | membrane
 Smp_162610.1   | GO:0016021   | integral component of membrane
 Smp_162610.1   | GO:0005886   | plasma membrane
 Smp_162610.1   | GO:0005509   | calcium ion binding
 Smp_162610.1   | GO:0005515   | protein binding
 Smp_074880.1   | GO:0015031   | protein transport
 Smp_074880.1   | GO:0016021   | integral component of membrane
 Smp_129350.1   | GO:0005525   | GTP binding
 Smp_129350.1   | GO:0015031   | protein transport
 Smp_129350.1   | GO:0007264   | small GTPase mediated signal transduction
 Smp_129350.1   | GO:0005886   | plasma membrane
 Smp_070760.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_070760.1   | GO:0016568   | chromatin modification
 Smp_070760.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_070760.1   | GO:0005634   | nucleus
 Smp_070760.1   | GO:0005737   | cytoplasm
 Smp_106060.1   | GO:0005509   | calcium ion binding
 Smp_106060.1   | GO:0005215   | transporter activity
 Smp_106060.1   | GO:0006810   | transport
 Smp_106060.1   | GO:0005739   | mitochondrion
 Smp_106060.1   | GO:0016021   | integral component of membrane
 Smp_106050.1   | GO:0015035   | protein disulfide oxidoreductase activity
 Smp_106050.1   | GO:0009055   | electron carrier activity
 Smp_106050.1   | GO:0006810   | transport
 Smp_106050.1   | GO:0045454   | cell redox homeostasis
 Smp_106050.1   | GO:0005634   | nucleus
 Smp_105930.1   | GO:0003723   | RNA binding
 Smp_105930.1   | GO:0003735   | structural constituent of ribosome
 Smp_105930.1   | GO:0006412   | translation
 Smp_105930.1   | GO:0005840   | ribosome
 Smp_181290.1   | GO:0003735   | structural constituent of ribosome
 Smp_181290.1   | GO:0006412   | translation
 Smp_181290.1   | GO:0005622   | intracellular
 Smp_181290.1   | GO:0005840   | ribosome
 Smp_010110.3   | GO:0008270   | zinc ion binding
 Smp_010110.3   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_010110.3   | GO:0016021   | integral component of membrane
 Smp_010110.3   | GO:0016020   | membrane
 Smp_127490.1   | GO:0008026   | ATP-dependent helicase activity
 Smp_127490.1   | GO:0005524   | ATP binding
 Smp_127490.1   | GO:0004386   | helicase activity
 Smp_127490.1   | GO:0003723   | RNA binding
 Smp_127490.1   | GO:0005634   | nucleus
 Smp_013060.1   | GO:0005634   | nucleus
 Smp_013060.1   | GO:0005622   | intracellular
 Smp_013060.1   | GO:0005737   | cytoplasm
 Smp_013060.1   | GO:0005515   | protein binding
 Smp_013060.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_013060.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_013060.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_013080.1   | GO:0008270   | zinc ion binding
 Smp_013080.1   | GO:0008233   | peptidase activity
 Smp_013080.1   | GO:0005524   | ATP binding
 Smp_013080.1   | GO:0006508   | proteolysis
 Smp_013080.1   | GO:0016021   | integral component of membrane
 Smp_013080.1   | GO:0016020   | membrane
 Smp_013080.1   | GO:0005634   | nucleus
 Smp_013080.1   | GO:0005737   | cytoplasm
 Smp_129120.1   | GO:0016020   | membrane
 Smp_136380.2   | GO:0046872   | metal ion binding
 Smp_136380.2   | GO:0005634   | nucleus
 Smp_136380.2   | GO:0005737   | cytoplasm
 Smp_026320.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_026320.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_026310.1   | GO:0008270   | zinc ion binding
 Smp_026310.1   | GO:0008152   | metabolic process
 Smp_026310.1   | GO:0005737   | cytoplasm
 Smp_026270.1   | GO:0003677   | DNA binding
 Smp_026270.1   | GO:0008270   | zinc ion binding
 Smp_026270.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_026270.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_026270.1   | GO:0005634   | nucleus
 Smp_026270.1   | GO:0005622   | intracellular
 Smp_136350.1   | GO:0001682   | tRNA 5'-leader removal
 Smp_136350.1   | GO:0005634   | nucleus
 Smp_183130.1   | GO:0008270   | zinc ion binding
 Smp_183130.1   | GO:0003676   | nucleic acid binding
 Smp_183130.1   | GO:0005524   | ATP binding
 Smp_183130.1   | GO:0006412   | translation
 Smp_183130.1   | GO:0005737   | cytoplasm
 Smp_150240.1   | GO:0005737   | cytoplasm
 Smp_052350.1   | GO:0003677   | DNA binding
 Smp_052350.1   | GO:0008233   | peptidase activity
 Smp_052350.1   | GO:0008270   | zinc ion binding
 Smp_052350.1   | GO:0008234   | cysteine-type peptidase activity
 Smp_052350.1   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_052350.1   | GO:0005634   | nucleus
 Smp_052350.1   | GO:0005622   | intracellular
 Smp_052350.1   | GO:0005737   | cytoplasm
 Smp_052330.1   | GO:0016021   | integral component of membrane
 Smp_168800.2   | GO:0008233   | peptidase activity
 Smp_168800.2   | GO:0008234   | cysteine-type peptidase activity
 Smp_168800.2   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_168800.2   | GO:0005622   | intracellular
 Smp_168800.2   | GO:0005737   | cytoplasm
 Smp_123630.1   | GO:0008233   | peptidase activity
 Smp_123630.1   | GO:0008234   | cysteine-type peptidase activity
 Smp_123630.1   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_123580.1   | GO:0003677   | DNA binding
 Smp_123580.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_002640.1   | GO:0043565   | sequence-specific DNA binding
 Smp_002640.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_002640.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_002640.1   | GO:0005634   | nucleus
 Smp_123530.1   | GO:0003723   | RNA binding
 Smp_123530.1   | GO:0009451   | RNA modification
 Smp_123480.1   | GO:0005524   | ATP binding
 Smp_123480.1   | GO:0006468   | protein phosphorylation
 Smp_123480.1   | GO:0005737   | cytoplasm
 Smp_123480.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_123470.1   | GO:0005524   | ATP binding
 Smp_123470.1   | GO:0005737   | cytoplasm
 Smp_063340.1   | GO:0005524   | ATP binding
 Smp_063340.1   | GO:0015662   | ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
 Smp_063340.1   | GO:0006810   | transport
 Smp_063340.1   | GO:0008152   | metabolic process
 Smp_063340.1   | GO:0016020   | membrane
 Smp_156270.1   | GO:0016021   | integral component of membrane
 Smp_156270.1   | GO:0000329   | fungal-type vacuole membrane
 Smp_213030.1   | GO:0003677   | DNA binding
 Smp_213030.1   | GO:0005634   | nucleus
 Smp_087620.1   | GO:0005737   | cytoplasm
 Smp_165150.1   | GO:0005737   | cytoplasm
 Smp_079810.1   | GO:0006412   | translation
 Smp_079810.1   | GO:0005737   | cytoplasm
 Smp_197480.1   | GO:0016787   | hydrolase activity
 Smp_168160.1   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_168160.1   | GO:0005622   | intracellular
 Smp_168160.1   | GO:0005737   | cytoplasm
 Smp_164580.1   | GO:0005525   | GTP binding
 Smp_164580.1   | GO:0007264   | small GTPase mediated signal transduction
 Smp_164580.1   | GO:0005622   | intracellular
 Smp_164580.1   | GO:0005886   | plasma membrane
 Smp_168220.1   | GO:0005524   | ATP binding
 Smp_168220.1   | GO:0005737   | cytoplasm
 Smp_084940.3   | GO:0005525   | GTP binding
 Smp_084940.3   | GO:0015031   | protein transport
 Smp_084940.3   | GO:0007264   | small GTPase mediated signal transduction
 Smp_084940.3   | GO:0005886   | plasma membrane
 Smp_138320.1   | GO:0016021   | integral component of membrane
 Smp_138320.1   | GO:0016020   | membrane
 Smp_138320.1   | GO:0005634   | nucleus
 Smp_138350.1   | GO:0003677   | DNA binding
 Smp_138350.1   | GO:0008270   | zinc ion binding
 Smp_138350.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_138350.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_138350.1   | GO:0005634   | nucleus
 Smp_138350.1   | GO:0005622   | intracellular
 Smp_029990.1   | GO:0005085   | guanyl-nucleotide exchange factor activity
 Smp_029990.1   | GO:0016020   | membrane
 Smp_029990.1   | GO:0005737   | cytoplasm
 Smp_189050.1   | GO:0005576   | extracellular region
 Smp_030010.3   | GO:0005524   | ATP binding
 Smp_030010.3   | GO:0005737   | cytoplasm
 Smp_030110.1   | GO:0005737   | cytoplasm
 Smp_120960.3   | GO:0003723   | RNA binding
 Smp_120960.3   | GO:0005737   | cytoplasm
 Smp_030290.1   | GO:0051082   | unfolded protein binding
 Smp_030290.1   | GO:0006457   | protein folding
 Smp_030290.1   | GO:0005737   | cytoplasm
 Smp_144380.1   | GO:0043565   | sequence-specific DNA binding
 Smp_144380.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_144380.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_144380.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_144380.1   | GO:0005634   | nucleus
 Smp_023470.1   | GO:0031071   | cysteine desulfurase activity
 Smp_023470.1   | GO:0005737   | cytoplasm
 Smp_134850.1   | GO:0005524   | ATP binding
 Smp_134850.1   | GO:0006259   | DNA metabolic process
 Smp_134850.1   | GO:0005634   | nucleus
 Smp_134850.1   | GO:0005737   | cytoplasm
 Smp_134910.2   | GO:0005524   | ATP binding
 Smp_134910.2   | GO:0006468   | protein phosphorylation
 Smp_134910.2   | GO:0005737   | cytoplasm
 Smp_023710.1   | GO:0016021   | integral component of membrane
 Smp_023710.1   | GO:0005886   | plasma membrane
 Smp_160840.1   | GO:0005509   | calcium ion binding
 Smp_160850.1   | GO:0005524   | ATP binding
 Smp_160850.1   | GO:0005737   | cytoplasm
 Smp_160910.1   | GO:0005524   | ATP binding
 Smp_071380.3   | GO:0008270   | zinc ion binding
 Smp_071380.3   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_071380.3   | GO:0016021   | integral component of membrane
 Smp_071380.3   | GO:0016020   | membrane
 Smp_136710.1   | GO:0005524   | ATP binding
 Smp_136710.1   | GO:0015662   | ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
 Smp_136710.1   | GO:0008152   | metabolic process
 Smp_136710.1   | GO:0016021   | integral component of membrane
 Smp_136710.1   | GO:0005886   | plasma membrane
 Smp_136840.1   | GO:0008233   | peptidase activity
 Smp_136840.1   | GO:0007586   | digestion
 Smp_136840.1   | GO:0006508   | proteolysis
 Smp_136840.1   | GO:0005576   | extracellular region
 Smp_018870.1   | GO:0016020   | membrane
 Smp_132530.1   | GO:0016021   | integral component of membrane
 Smp_132530.1   | GO:0016020   | membrane
 Smp_197500.1   | GO:0016021   | integral component of membrane
 Smp_197500.1   | GO:0005774   | vacuolar membrane
 Smp_132600.1   | GO:0045202   | synapse
 Smp_132600.1   | GO:0005737   | cytoplasm
 Smp_176970.1   | GO:0005524   | ATP binding
 Smp_176970.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_176970.1   | GO:0006468   | protein phosphorylation
 Smp_177000.1   | GO:0016021   | integral component of membrane
 Smp_177000.1   | GO:0016020   | membrane
 Smp_177020.1   | GO:0005509   | calcium ion binding
 Smp_177020.1   | GO:0004435   | phosphatidylinositol phospholipase C activity
 Smp_177020.1   | GO:0016020   | membrane
 Smp_177020.1   | GO:0005737   | cytoplasm
 Smp_115340.1   | GO:0008080   | N-acetyltransferase activity
 Smp_115340.1   | GO:0008152   | metabolic process
 Smp_115340.1   | GO:0005737   | cytoplasm
 Smp_197410.1   | GO:0005774   | vacuolar membrane
 Smp_130270.2   | GO:0005634   | nucleus
 Smp_130290.1   | GO:0005524   | ATP binding
 Smp_130290.1   | GO:0005737   | cytoplasm
 Smp_015030.1   | GO:0004103   | choline kinase activity
 Smp_015030.1   | GO:0005737   | cytoplasm
 Smp_105760.1   | GO:0016021   | integral component of membrane
 Smp_105760.1   | GO:0016020   | membrane
 Smp_159950.1   | GO:0005576   | extracellular region
 Smp_072790.2   | GO:0005524   | ATP binding
 Smp_197680.1   | GO:0005509   | calcium ion binding
 Smp_197680.1   | GO:0016021   | integral component of membrane
 Smp_197680.1   | GO:0016020   | membrane
 Smp_161650.1   | GO:0008233   | peptidase activity
 Smp_161650.1   | GO:0006508   | proteolysis
 Smp_161650.1   | GO:0005737   | cytoplasm
 Smp_120630.1   | GO:0005634   | nucleus
 Smp_120630.1   | GO:0005737   | cytoplasm
 Smp_085410.1   | GO:0016021   | integral component of membrane
 Smp_085410.1   | GO:0016020   | membrane
 Smp_131810.1   | GO:0046922   | peptide-O-fucosyltransferase activity
 Smp_131770.1   | GO:0008026   | ATP-dependent helicase activity
 Smp_131770.1   | GO:0005524   | ATP binding
 Smp_131770.1   | GO:0004386   | helicase activity
 Smp_131770.1   | GO:0003723   | RNA binding
 Smp_131770.1   | GO:0005634   | nucleus
 Smp_131770.1   | GO:0005737   | cytoplasm
 Smp_075770.1   | GO:0005524   | ATP binding
 Smp_075770.1   | GO:0005634   | nucleus
 Smp_075770.1   | GO:0005737   | cytoplasm
 Smp_185620.1   | GO:0046872   | metal ion binding
 Smp_029470.1   | GO:0005524   | ATP binding
 Smp_029470.1   | GO:0005737   | cytoplasm
 Smp_029390.1   | GO:0005515   | protein binding
 Smp_098890.2   | GO:0000166   | nucleotide binding
 Smp_098890.2   | GO:0003723   | RNA binding
 Smp_098890.2   | GO:0005634   | nucleus
 Smp_098890.2   | GO:0005737   | cytoplasm
 Smp_197760.1   | GO:0003677   | DNA binding
 Smp_197760.1   | GO:0005634   | nucleus
 Smp_197760.1   | GO:0005622   | intracellular
 Smp_151750.1   | GO:0005634   | nucleus
 Smp_036130.1   | GO:0005737   | cytoplasm
 Smp_172570.1   | GO:0005524   | ATP binding
 Smp_172570.1   | GO:0005882   | intermediate filament
 Smp_172570.1   | GO:0005737   | cytoplasm
 Smp_188210.1   | GO:0016020   | membrane
 Smp_150140.1   | GO:0000166   | nucleotide binding
 Smp_150140.1   | GO:0003723   | RNA binding
 Smp_150140.1   | GO:0005634   | nucleus
 Smp_150140.1   | GO:0005737   | cytoplasm
 Smp_150120.1   | GO:0005737   | cytoplasm
 Smp_052150.1   | GO:0005737   | cytoplasm
 Smp_150070.2   | GO:0005622   | intracellular
 Smp_150060.1   | GO:0008270   | zinc ion binding
 Smp_150060.1   | GO:0005622   | intracellular
 Smp_150060.1   | GO:0005737   | cytoplasm
 Smp_051930.1   | GO:0016021   | integral component of membrane
 Smp_051930.1   | GO:0009247   | glycolipid biosynthetic process
 Smp_149860.1   | GO:0016787   | hydrolase activity
 Smp_149860.1   | GO:0008152   | metabolic process
 Smp_146700.1   | GO:0008270   | zinc ion binding
 Smp_146700.1   | GO:0008415   | acyltransferase activity (obsolete GO:acyltransferase activity)
 Smp_146700.1   | GO:0016021   | integral component of membrane
 Smp_146700.1   | GO:0016020   | membrane
 Smp_045490.1   | GO:0005509   | calcium ion binding
 Smp_045490.1   | GO:0005634   | nucleus
 Smp_045490.1   | GO:0005737   | cytoplasm
 Smp_045510.1   | GO:0006512   | obsolete ubiquitin cycle (obsolete GO:0006512)
 Smp_045510.1   | GO:0005634   | nucleus
 Smp_045510.1   | GO:0005737   | cytoplasm
 Smp_038730.5   | GO:0005634   | nucleus
 Smp_038730.5   | GO:0005886   | plasma membrane
 Smp_038730.5   | GO:0005737   | cytoplasm
 Smp_143180.1   | GO:0003677   | DNA binding
 Smp_143180.1   | GO:0008270   | zinc ion binding
 Smp_143180.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_143180.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_143180.1   | GO:0005634   | nucleus
 Smp_143180.1   | GO:0005622   | intracellular
 Smp_143140.1   | GO:0005525   | GTP binding
 Smp_143140.1   | GO:0003924   | GTPase activity
 Smp_143140.1   | GO:0006412   | translation
 Smp_143140.1   | GO:0005622   | intracellular
 Smp_143140.1   | GO:0005737   | cytoplasm
 Smp_050630.1   | GO:0005509   | calcium ion binding
 Smp_050630.1   | GO:0005215   | transporter activity
 Smp_050630.1   | GO:0006810   | transport
 Smp_050630.1   | GO:0016021   | integral component of membrane
 Smp_050630.1   | GO:0016020   | membrane
 Smp_050630.1   | GO:0008021   | synaptic vesicle
 Smp_050630.1   | GO:0045202   | synapse
 Smp_149280.1   | GO:0016021   | integral component of membrane
 Smp_149280.1   | GO:0016020   | membrane
 Smp_149300.1   | GO:0003723   | RNA binding
 Smp_149300.1   | GO:0005634   | nucleus
 Smp_050820.1   | GO:0003689   | DNA clamp loader activity
 Smp_050820.1   | GO:0005524   | ATP binding
 Smp_050820.1   | GO:0005663   | DNA replication factor C complex
 Smp_050820.1   | GO:0005634   | nucleus
 Smp_137030.1   | GO:0046872   | metal ion binding
 Smp_027450.1   | GO:0005525   | GTP binding
 Smp_027450.1   | GO:0003924   | GTPase activity
 Smp_027450.1   | GO:0007017   | microtubule-based process
 Smp_027450.1   | GO:0051258   | protein polymerization
 Smp_027450.1   | GO:0005739   | mitochondrion
 Smp_027550.2   | GO:0000166   | nucleotide binding
 Smp_027550.2   | GO:0003723   | RNA binding
 Smp_027550.2   | GO:0005634   | nucleus
 Smp_027550.2   | GO:0005737   | cytoplasm
 Smp_126900.1   | GO:0005737   | cytoplasm
 Smp_126990.1   | GO:0003824   | catalytic activity
 Smp_126990.1   | GO:0005524   | ATP binding
 Smp_126990.1   | GO:0006412   | translation
 Smp_127040.2   | GO:0005525   | GTP binding
 Smp_127040.2   | GO:0007264   | small GTPase mediated signal transduction
 Smp_127040.2   | GO:0005622   | intracellular
 Smp_127040.2   | GO:0005886   | plasma membrane
 Smp_127040.1   | GO:0005525   | GTP binding
 Smp_127040.1   | GO:0007264   | small GTPase mediated signal transduction
 Smp_127040.1   | GO:0005622   | intracellular
 Smp_127040.1   | GO:0005886   | plasma membrane
 Smp_126850.2   | GO:0000166   | nucleotide binding
 Smp_126850.2   | GO:0003723   | RNA binding
 Smp_126850.2   | GO:0005634   | nucleus
 Smp_126850.2   | GO:0005737   | cytoplasm
 Smp_158380.1   | GO:0005524   | ATP binding
 Smp_158380.1   | GO:0005739   | mitochondrion
 Smp_066960.2   | GO:0008270   | zinc ion binding
 Smp_066960.1   | GO:0008270   | zinc ion binding
 Smp_066890.1   | GO:0005840   | ribosome
 Smp_066890.1   | GO:0005737   | cytoplasm
 Smp_118560.1   | GO:0016021   | integral component of membrane
 Smp_118560.1   | GO:0016020   | membrane
 Smp_159670.1   | GO:0016020   | membrane
 Smp_159690.1   | GO:0016020   | membrane
 Smp_159690.1   | GO:0005634   | nucleus
 Smp_159690.1   | GO:0005737   | cytoplasm
 Smp_069240.1   | GO:0016021   | integral component of membrane
 Smp_069240.1   | GO:0016020   | membrane
 Smp_069240.1   | GO:0005515   | protein binding
 Smp_069240.1   | GO:0006813   | potassium ion transport
 Smp_024590.1   | GO:0005737   | cytoplasm
 Smp_211010.1   | GO:0016021   | integral component of membrane
 Smp_211010.1   | GO:0016020   | membrane
 Smp_211020.1   | GO:0016021   | integral component of membrane
 Smp_211020.1   | GO:0016020   | membrane
 Smp_135640.1   | GO:0005509   | calcium ion binding
 Smp_135640.1   | GO:0016021   | integral component of membrane
 Smp_135640.1   | GO:0005886   | plasma membrane
 Smp_042700.1   | GO:0005524   | ATP binding
 Smp_042700.1   | GO:0005737   | cytoplasm
 Smp_145400.1   | GO:0003777   | microtubule motor activity
 Smp_145400.1   | GO:0005524   | ATP binding
 Smp_145400.1   | GO:0007018   | microtubule-based movement
 Smp_145400.1   | GO:0030286   | dynein complex
 Smp_042980.1   | GO:0005737   | cytoplasm
 Smp_042980.1   | GO:0005524   | ATP binding
 Smp_043040.1   | GO:0030286   | dynein complex
 Smp_043070.1   | GO:0003723   | RNA binding
 Smp_043070.1   | GO:0015031   | protein transport
 Smp_043070.1   | GO:0005634   | nucleus
 Smp_043110.1   | GO:0016020   | membrane
 Smp_043200.1   | GO:0005524   | ATP binding
 Smp_043200.1   | GO:0004674   | protein serine/threonine kinase activity
 Smp_043200.1   | GO:0006468   | protein phosphorylation
 Smp_043290.1   | GO:0016021   | integral component of membrane
 Smp_043290.1   | GO:0016020   | membrane
 Smp_150840.2   | GO:0008270   | zinc ion binding
 Smp_150840.2   | GO:0005634   | nucleus
 Smp_053510.1   | GO:0003676   | nucleic acid binding
 Smp_053510.1   | GO:0005524   | ATP binding
 Smp_053510.1   | GO:0004824   | lysine-tRNA ligase activity
 Smp_053510.1   | GO:0006412   | translation
 Smp_053510.1   | GO:0006422   | aspartyl-tRNA aminoacylation
 Smp_053510.1   | GO:0005737   | cytoplasm
 Smp_150800.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_150800.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_150800.1   | GO:0016020   | membrane
 Smp_150800.1   | GO:0005634   | nucleus
 Smp_150800.1   | GO:0005737   | cytoplasm
 Smp_058880.1   | GO:0016787   | hydrolase activity
 Smp_058880.1   | GO:0005737   | cytoplasm
 Smp_153970.1   | GO:0005829   | cytosol
 Smp_153970.1   | GO:0005737   | cytoplasm
 Smp_003000.1   | GO:0005634   | nucleus
 Smp_003000.1   | GO:0005524   | ATP binding
 Smp_003000.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_003000.1   | GO:0006468   | protein phosphorylation
 Smp_003000.1   | GO:0006350   | transcription (obsolete GO:0006350)
 Smp_003000.1   | GO:0008353   | RNA polymerase II carboxy-terminal domain kinase activity
 Smp_003000.1   | GO:0003677   | DNA binding
 Smp_003000.1   | GO:0017069   | snRNA binding
 Smp_155900.1   | GO:0008270   | zinc ion binding
 Smp_155900.1   | GO:0008152   | metabolic process
 Smp_155900.1   | GO:0005886   | plasma membrane
 Smp_160240.1   | GO:0016021   | integral component of membrane
 Smp_160240.1   | GO:0016020   | membrane
 Smp_160240.1   | GO:0008233   | peptidase activity
 Smp_160240.1   | GO:0005509   | calcium ion binding
 Smp_160240.1   | GO:0006508   | proteolysis
 Smp_160240.1   | GO:0005802   | trans-Golgi network
 Smp_070200.1   | GO:0000166   | nucleotide binding
 Smp_070200.1   | GO:0003723   | RNA binding
 Smp_070200.1   | GO:0005634   | nucleus
 Smp_070200.1   | GO:0005737   | cytoplasm
 Smp_070070.2   | GO:0005634   | nucleus
 Smp_070070.1   | GO:0005634   | nucleus
 Smp_042430.1   | GO:0005634   | nucleus
 Smp_042440.1   | GO:0043565   | sequence-specific DNA binding
 Smp_042440.1   | GO:0003700   | transcription factor activity, sequence-specific DNA binding
 Smp_042440.1   | GO:0006355   | regulation of transcription, DNA-templated
 Smp_042440.1   | GO:0016021   | integral component of membrane
 Smp_042440.1   | GO:0005634   | nucleus
 Smp_169610.1   | GO:0008270   | zinc ion binding
 Smp_169610.1   | GO:0008415   | acyltransferase activity (obsolete GO:acyltransferase activity)
 Smp_169610.1   | GO:0016021   | integral component of membrane
 Smp_169610.1   | GO:0016020   | membrane
 Smp_169590.1   | GO:0016020   | membrane
 Smp_062510.1   | GO:0005525   | GTP binding
 Smp_062510.1   | GO:0015031   | protein transport
 Smp_062510.1   | GO:0007264   | small GTPase mediated signal transduction
 Smp_062510.1   | GO:0005886   | plasma membrane
 Smp_062550.1   | GO:0005886   | plasma membrane
 Smp_210290.1   | GO:0016021   | integral component of membrane
 Smp_210290.1   | GO:0016020   | membrane
 Smp_080120.2   | GO:0016021   | integral component of membrane
 Smp_080120.2   | GO:0016020   | membrane
 Smp_080120.2   | GO:0005524   | ATP binding
 Smp_080120.2   | GO:0004674   | protein serine/threonine kinase activity
 Smp_080120.2   | GO:0006468   | protein phosphorylation
 Smp_130900.1   | GO:0005737   | cytoplasm
